subject,sessionIndex,rep,DD.period.t,UU.period.t,DD.t.i,UU.t.i,DD.i.e,UU.i.e,DD.e.five,UU.e.five,DD.five.Shift.r,UU.five.Shift.r,DD.Shift.r.o,UU.Shift.r.o,DD.o.a,UU.o.a,DD.a.n,UU.a.n,DD.n.l,UU.n.l,DD.l.Return,UU.l.Return
s008,7,4,0.1665,0.1644,0.0888,0.0935,0.1067,0.1197,0.2049,0.1964,0.2969,0.3057,0.1041,0.1072,0.0948,0.0703,0.0629,0.0842,0.0744,0.0691,0.1627,0.1831
s008,7,5,0.1820,0.1687,0.0708,0.0834,0.1249,0.1299,0.1977,0.2003,0.2791,0.2768,0.1091,0.1151,0.1149,0.1403,0.0542,0.0386,0.0850,0.0763,0.1905,0.1775
s008,7,6,0.1206,0.1190,0.1191,0.1038,0.0737,0.0964,0.2024,0.2080,0.3147,0.3316,0.1350,0.1232,0.0743,0.0869,0.1144,0.1048,0.0662,0.0657,0.1786,0.1749
s008,7,7,0.1375,0.1425,0.0888,0.0988,0.1138,0.1415,0.2056,0.1919,0.3783,0.3844,0.1255,0.1381,0.1423,0.1149,0.0824,0.1130,0.0805,0.0604,0.1899,0.2068
s008,7,8,0.1274,0.1203,0.0771,0.0908,0.0977,0.1220,0.2112,0.1890,0.7155,0.7388,0.1526,0.1541,0.1096,0.0938,0.1014,0.1202,0.0871,0.0702,0.1728,0.1846
s008,7,9,0.4219,0.4224,0.0697,0.0779,0.0850,0.1138,0.2064,0.1911,0.2976,0.3152,0.1367,0.1215,0.0735,0.0911,0.0998,0.0909,0.0773,0.0805,0.1739,0.1659
s008,7,10,0.1667,0.1636,0.1075,0.0916,0.0961,0.1025,0.1766,0.1903,0.2875,0.3110,0.1257,0.1043,0.0933,0.1060,0.1025,0.0959,0.0763,0.0765,0.1759,0.1809
s008,7,11,0.1577,0.1559,0.1091,0.1022,0.0898,0.0814,0.1924,0.2093,0.2931,0.3303,0.4028,0.3632,0.1638,0.1974,0.0782,0.0891,0.1178,0.0852,0.1826,0.1987
s008,7,12,0.1435,0.1747,0.0840,0.0919,0.1157,0.1175,0.2045,0.2153,0.3078,0.3169,0.1263,0.1175,0.1162,0.1366,0.0948,0.0658,0.0761,0.0620,0.1530,0.1733
s008,7,13,0.1266,0.1493,0.1164,0.1257,0.1231,0.1191,0.1913,0.1929,0.4833,0.4878,0.1421,0.1365,0.1117,0.1252,0.1262,0.1043,0.0810,0.0815,0.1728,0.1929
s008,7,14,0.1620,0.1510,0.0782,0.0921,0.1283,0.1215,0.1840,0.2048,0.3408,0.3504,0.1318,0.1418,0.1311,0.1255,0.0156,0.0510,0.1367,0.0910,0.2622,0.2712
s008,7,15,0.1749,0.2008,0.0913,0.0573,0.0730,0.1070,0.1961,0.1873,0.2851,0.3131,0.1299,0.1178,0.0682,0.0669,0.0996,0.1168,0.0895,0.0699,0.1878,0.1999
s008,7,16,0.1242,0.1287,0.0908,0.0974,0.1001,0.0932,0.1728,0.1842,0.2556,0.2704,0.1460,0.1267,0.0560,0.0740,0.1390,0.1546,0.0982,0.0800,0.1750,0.1815
s008,7,17,0.1396,0.1706,0.0803,0.0789,0.1442,0.1537,0.1724,0.1652,0.2790,0.2973,0.1764,0.1457,0.0904,0.0828,0.1300,0.1762,0.0781,0.0784,0.2336,0.2333
s008,7,18,0.2443,0.2454,0.0887,0.0863,0.0950,0.0866,0.1526,0.1813,0.2798,0.2944,0.1484,0.1558,0.1303,0.1205,0.0523,0.0550,0.0879,0.0654,0.1723,0.1662
s008,7,19,0.1721,0.1818,0.0995,0.0818,0.0897,0.1103,0.1905,0.2053,0.3091,0.3096,0.1409,0.1401,0.1484,0.1416,0.0217,0.0729,0.1462,0.0831,0.1767,0.1947
s008,7,20,0.1961,0.1942,0.1132,0.1003,0.0745,0.1204,0.2560,0.2365,0.3107,0.3071,0.1598,0.1222,0.0832,0.1394,0.2494,0.2566,0.1352,0.0974,0.1828,0.2248
s008,7,21,0.2267,0.2343,0.1233,0.1175,0.1278,0.1497,0.2225,0.2098,0.2938,0.3414,0.1529,0.1090,0.0969,0.1170,0.1072,0.1027,0.0863,0.0884,0.2335,0.2277
s008,7,22,0.3496,0.3842,0.1418,0.1283,0.0861,0.1141,0.2272,0.2066,0.2964,0.3092,0.1707,0.1677,0.1076,0.1084,0.1263,0.1331,0.0976,0.0953,0.2045,0.1939
s008,7,23,0.1615,0.1840,0.0803,0.0958,0.1347,0.1275,0.1934,0.2135,0.2788,0.2873,0.1379,0.1141,0.1527,0.2042,0.0547,0.0500,0.1267,0.0794,0.3934,0.4414
s008,7,24,0.1506,0.1530,0.0771,0.0729,0.0745,0.0988,0.1798,0.1713,0.2527,0.2786,0.1616,0.1202,0.0479,0.0943,0.1518,0.1313,0.0752,0.0525,0.1644,0.1833
s008,7,25,0.1530,0.1720,0.0917,0.0925,0.0988,0.1035,0.1794,0.1665,0.2683,0.2923,0.1415,0.1281,0.0584,0.1025,0.0999,0.0806,0.0979,0.0734,0.1729,0.1828
s008,7,26,0.1264,0.1385,0.0996,0.1080,0.1045,0.1066,0.1710,0.1547,0.2569,0.2831,0.1194,0.1178,0.0983,0.1091,0.0972,0.0858,0.0834,0.0873,0.1785,0.1775
s008,7,27,0.1393,0.1525,0.0969,0.0972,0.0769,0.0980,0.1766,0.1645,0.2511,0.2719,0.1452,0.1318,0.1033,0.1257,0.1130,0.1009,0.0728,0.0681,0.1979,0.1936
s008,7,28,0.1449,0.1356,0.1048,0.1004,0.0817,0.0988,0.2014,0.1835,0.3392,0.3980,0.4018,0.3303,0.1432,0.2052,0.1167,0.1226,0.1048,0.0676,0.1847,0.1907
s008,7,29,0.1372,0.1607,0.1075,0.1046,0.1151,0.1132,0.1974,0.2143,0.2743,0.2561,0.1718,0.1863,0.1682,0.1857,0.1151,0.1064,0.1040,0.0947,0.2044,0.2028
s008,7,30,0.2306,0.2269,0.1043,0.0959,0.0747,0.0837,0.1938,0.2088,0.3192,0.3132,0.1654,0.1803,0.1215,0.1139,0.0879,0.0756,0.0671,0.0765,0.1971,0.2047
s008,7,31,0.1868,0.1939,0.1004,0.0964,0.1697,0.1998,0.2710,0.2678,0.2787,0.2677,0.1067,0.1288,0.1125,0.1017,0.0787,0.0817,0.0808,0.0858,0.2177,0.1881
s008,7,32,0.1266,0.1416,0.1098,0.0980,0.0771,0.0879,0.1901,0.2054,0.2693,0.2600,0.1254,0.1439,0.1376,0.1379,0.0584,0.0608,0.0866,0.0699,0.1859,0.1751
s008,7,33,0.1161,0.1127,0.1167,0.1220,0.0792,0.1014,0.2197,0.2064,0.3537,0.3644,0.2147,0.2384,0.1075,0.0772,0.0732,0.0859,0.0748,0.0615,0.1617,0.1791
s008,7,34,0.1688,0.1751,0.1037,0.1138,0.0829,0.0958,0.3982,0.3697,0.3092,0.3449,0.1286,0.1180,0.0872,0.0914,0.0890,0.0787,0.0823,0.0895,0.1697,0.1775
s008,7,35,0.1266,0.1688,0.1090,0.0943,0.0970,0.1041,0.1842,0.1815,0.2663,0.3068,0.1487,0.1067,0.0447,0.0774,0.1476,0.1508,0.0863,0.0974,0.2032,0.1688
s008,7,36,0.1544,0.1560,0.1284,0.1302,0.0879,0.0768,0.1937,0.1985,0.3049,0.3479,0.2851,0.2516,0.0898,0.0814,0.0861,0.1184,0.0988,0.0778,0.1530,0.1736
s008,7,37,0.1660,0.1749,0.0937,0.0964,0.0911,0.1027,0.2138,0.2022,0.3223,0.3387,0.1445,0.1374,0.0917,0.1154,0.1120,0.0383,0.0493,0.0868,0.1633,0.1538
s008,7,38,0.1319,0.1644,0.1109,0.0985,0.1030,0.1059,0.2096,0.2085,0.3077,0.3080,0.1753,0.1735,0.0878,0.1197,0.1146,0.1040,0.0778,0.0810,0.1841,0.1875
s008,7,39,0.1557,0.1704,0.1014,0.0999,0.1086,0.1207,0.1977,0.2112,0.2812,0.2846,0.1384,0.1295,0.1144,0.1379,0.0904,0.0510,0.0818,0.0660,0.1636,0.1897
s008,7,40,0.1193,0.1301,0.1136,0.1257,0.1064,0.1357,0.2423,0.2225,0.6792,0.6919,0.1914,0.1819,0.1535,0.1551,0.0689,0.0838,0.0951,0.0808,0.1858,0.1878
s008,7,41,0.1364,0.1580,0.0932,0.0988,0.1096,0.1191,0.1890,0.2154,0.2897,0.2932,0.1270,0.1093,0.1137,0.0949,0.0671,0.0542,0.0893,0.0887,0.1881,0.1966
s008,7,42,0.1430,0.1541,0.1212,0.1259,0.1056,0.1180,0.2304,0.2156,0.2930,0.2989,0.1389,0.1623,0.1283,0.1099,0.0362,0.0677,0.1035,0.0620,0.1837,0.1910
s008,7,43,0.2593,0.2673,0.1226,0.1376,0.0969,0.0927,0.1977,0.1971,0.2859,0.2976,0.1408,0.1555,0.1241,0.1311,0.1009,0.0890,0.0784,0.0860,0.2129,0.2277
s008,7,44,0.2185,0.2670,0.1283,0.1230,0.2111,0.1410,0.3582,0.4307,0.3059,0.3036,0.1482,0.1450,0.0769,0.1086,0.1022,0.0766,0.0750,0.0657,0.1691,0.1847
s008,7,45,0.1693,0.1955,0.1450,0.1181,0.0909,0.1186,0.2204,0.2088,0.2575,0.2720,0.1247,0.1091,0.0935,0.1310,0.0869,0.0552,0.0797,0.0715,0.1796,0.1944
s008,7,46,0.1380,0.1634,0.0919,0.0824,0.1223,0.1397,0.1845,0.1755,0.2628,0.2744,0.1128,0.0975,0.1279,0.1438,0.0423,0.0532,0.0930,0.0786,0.1746,0.1902
s008,7,47,0.1546,0.1855,0.0758,0.0710,0.1265,0.1431,0.1897,0.1929,0.2679,0.2714,0.1329,0.1181,0.1524,0.1643,0.0713,0.0687,0.0927,0.0805,0.1992,0.2216
s008,7,48,0.2634,0.2531,0.0988,0.0959,0.1402,0.1721,0.2344,0.2019,0.2671,0.2640,0.1009,0.1164,0.1352,0.1609,0.1054,0.0410,0.0465,0.0866,0.1897,0.2161
s008,7,49,0.1274,0.1448,0.1106,0.1091,0.0890,0.1014,0.1714,0.1555,0.2532,0.2733,0.1524,0.1447,0.1157,0.1178,0.1289,0.1646,0.0837,0.0662,0.1976,0.1881
s008,7,50,0.1625,0.1968,0.0715,0.0766,0.1463,0.1555,0.2582,0.1948,0.3577,0.4217,0.1490,0.1270,0.0874,0.1057,0.1279,0.1246,0.0844,0.0866,0.1755,0.1952
s008,8,1,0.1414,0.1168,0.1000,0.0964,0.0687,0.0863,0.3283,0.3357,0.2716,0.2727,0.1075,0.1144,0.0460,0.0611,0.1464,0.1471,0.0897,0.0541,0.1937,0.2034
s008,8,2,0.1290,0.1203,0.1053,0.1027,0.0715,0.0742,0.1650,0.1752,0.2883,0.2839,0.0959,0.1028,0.0830,0.1102,0.1081,0.0769,0.0810,0.0850,0.1972,0.1844
s008,8,3,0.1256,0.1472,0.0847,0.0779,0.1130,0.1222,0.1660,0.1771,0.2904,0.2880,0.0892,0.0990,0.0948,0.0954,0.1006,0.0864,0.0711,0.0763,0.2048,0.1971
s008,8,4,0.1277,0.1261,0.0992,0.1056,0.1027,0.1032,0.1937,0.1929,0.2875,0.2907,0.1283,0.1223,0.0542,0.0793,0.1311,0.1178,0.0823,0.0744,0.2066,0.2111
s008,8,5,0.1379,0.1467,0.1305,0.1075,0.1017,0.0431,0.5832,0.6418,0.2949,0.3070,0.0908,0.1059,0.1020,0.1155,0.0877,0.0700,0.0739,0.0736,0.1976,0.2000
s008,8,6,0.1561,0.1448,0.0974,0.1072,0.0805,0.0594,0.2405,0.2600,0.2893,0.2814,0.1030,0.1078,0.0772,0.0938,0.0946,0.1038,0.0910,0.0612,0.1910,0.1915
s008,8,7,0.1480,0.1612,0.0956,0.0880,0.0853,0.0919,0.1721,0.1824,0.2590,0.2616,0.1341,0.1238,0.0542,0.0814,0.1421,0.1300,0.0657,0.0668,0.2629,0.2979
s008,8,8,0.1118,0.1274,0.1032,0.0861,0.0941,0.0917,0.1473,0.1589,0.2909,0.3073,0.1482,0.1406,0.0674,0.0906,0.1253,0.1116,0.0639,0.0681,0.2064,0.1447
s008,8,9,0.1055,0.1086,0.1101,0.1046,0.0674,0.0788,0.1777,0.1724,0.3416,0.3487,0.1317,0.1571,0.0933,0.0861,0.1125,0.1038,0.0694,0.0665,0.1570,0.1443
s008,8,10,0.1522,0.1338,0.1033,0.0969,0.0842,0.0911,0.1621,0.1745,0.3075,0.3149,0.1135,0.1159,0.0906,0.1068,0.0925,0.0803,0.0679,0.0713,0.1821,0.1588
s008,8,11,0.1424,0.1018,0.0945,0.1087,0.0897,0.1101,0.2418,0.2407,0.2814,0.2722,0.1452,0.1257,0.0357,0.0677,0.1501,0.1524,0.0544,0.0591,0.1815,0.1672
s008,8,12,0.1441,0.1280,0.0991,0.0885,0.0581,0.0673,0.1763,0.1916,0.2806,0.2863,0.1137,0.0999,0.0836,0.1039,0.0858,0.0814,0.0621,0.0620,0.1662,0.1633
s008,8,13,0.1472,0.1428,0.2674,0.2858,0.2560,0.3017,0.2698,0.2334,0.2925,0.2846,0.1075,0.1091,0.0851,0.1220,0.0927,0.0574,0.0771,0.0736,0.1739,0.1860
s008,8,14,0.1276,0.1203,0.1160,0.1070,0.0727,0.1062,0.2001,0.2085,0.2774,0.2656,0.1099,0.1070,0.0864,0.0978,0.0975,0.0935,0.0742,0.0702,0.1620,0.1739
s008,8,15,0.1113,0.1002,0.1093,0.1175,0.0866,0.0847,0.1620,0.1773,0.2909,0.2817,0.1257,0.1339,0.0886,0.0970,0.1120,0.0925,0.0591,0.0604,0.1522,0.1517
s008,8,16,0.1287,0.1540,0.0789,0.0768,0.1373,0.1297,0.1713,0.2014,0.3240,0.3108,0.1474,0.1321,0.0820,0.1253,0.0890,0.0684,0.0668,0.0625,0.1522,0.1522
s008,8,17,0.1863,0.1707,0.0966,0.1114,0.0879,0.0824,0.1935,0.2230,0.2859,0.2715,0.1474,0.1346,0.0801,0.1105,0.1152,0.0706,0.0517,0.0776,0.1797,0.1902
s008,8,18,0.1399,0.1462,0.0990,0.0813,0.1125,0.1555,0.1842,0.2019,0.3337,0.3305,0.2866,0.2909,0.1046,0.0663,0.1057,0.1108,0.0763,0.0662,0.1612,0.1834
s008,8,19,0.1287,0.1319,0.1194,0.1057,0.0724,0.0734,0.1581,0.1748,0.2707,0.2712,0.1423,0.1407,0.0616,0.0787,0.1581,0.1395,0.0523,0.0765,0.1963,0.1522
s008,8,20,0.1240,0.1438,0.1186,0.1027,0.0829,0.1030,0.1811,0.1835,0.2806,0.2848,0.1394,0.1230,0.1236,0.1242,0.0835,0.0753,0.0549,0.0641,0.1620,0.1734
s008,8,21,0.1812,0.1630,0.0995,0.0956,0.0806,0.0766,0.1853,0.2141,0.2722,0.2730,0.1093,0.1182,0.1117,0.1242,0.0816,0.0536,0.0499,0.0602,0.1646,0.1640
s008,8,22,0.1160,0.1039,0.1011,0.0943,0.0531,0.0729,0.1608,0.1816,0.2921,0.2760,0.1339,0.1341,0.0576,0.0799,0.1067,0.0909,0.0769,0.0773,0.1783,0.1812
s008,8,23,0.1198,0.1063,0.1476,0.1387,0.0428,0.0673,0.3906,0.4133,0.3099,0.2458,0.0951,0.1111,0.1133,0.1482,0.0858,0.0584,0.0581,0.0594,0.1715,0.1611
s008,8,24,0.1174,0.1300,0.0950,0.0966,0.0969,0.0803,0.1571,0.1690,0.2640,0.2625,0.1123,0.1185,0.0949,0.1356,0.0927,0.0436,0.0496,0.0681,0.1755,0.1865
s008,8,25,0.1503,0.0754,0.0922,0.0874,0.1969,0.2861,0.6022,0.5846,0.2701,0.2815,0.0925,0.1032,0.1360,0.1424,0.0750,0.0679,0.0581,0.0628,0.1746,0.1427
s008,8,26,0.1552,0.1282,0.0765,0.0860,0.0982,0.0919,0.1365,0.1545,0.2591,0.2662,0.1080,0.1086,0.0859,0.1249,0.0782,0.0437,0.0631,0.0715,0.1494,0.1467
s008,8,27,0.1095,0.1103,0.1275,0.1207,0.0758,0.0671,0.1626,0.1792,0.2720,0.2802,0.1516,0.1324,0.0690,0.1123,0.1091,0.0796,0.0653,0.0760,0.1776,0.1651
s008,8,28,0.1198,0.1269,0.1072,0.0856,0.0541,0.0668,0.1687,0.1618,0.4738,0.4751,0.1616,0.1809,0.1548,0.1630,0.0476,0.0632,0.0866,0.0615,0.1496,0.1485
s008,8,29,0.1277,0.1261,0.1251,0.1022,0.0605,0.0457,0.2146,0.2803,0.2727,0.2622,0.1181,0.1078,0.0811,0.1152,0.0962,0.0643,0.0692,0.0694,0.1544,0.1498
s008,8,30,0.1433,0.1572,0.0971,0.0890,0.0972,0.1043,0.1647,0.1679,0.3116,0.3396,0.1878,0.1584,0.0943,0.1147,0.0972,0.0703,0.0602,0.0742,0.1451,0.1376
s008,8,31,0.1151,0.0792,0.1117,0.1436,0.0924,0.1436,0.2848,0.2616,0.2453,0.2474,0.1165,0.1062,0.0899,0.1161,0.0890,0.0571,0.0605,0.0668,0.1589,0.1491
s008,8,32,0.1240,0.1366,0.1119,0.0966,0.0766,0.0851,0.1652,0.1839,0.2542,0.2540,0.1194,0.1123,0.0888,0.0943,0.0737,0.0629,0.0829,0.0723,0.1292,0.1382
s008,8,33,0.1227,0.1274,0.0937,0.0993,0.0909,0.0922,0.1689,0.1816,0.2802,0.2796,0.1161,0.1138,0.0798,0.0862,0.0872,0.0756,0.0745,0.0813,0.1541,0.1707
s008,8,34,0.1451,0.1451,0.1114,0.0885,0.0866,0.0990,0.1745,0.2014,0.2666,0.2514,0.0964,0.0932,0.1198,0.1169,0.0898,0.0669,0.0526,0.0760,0.1723,0.1730
s008,8,35,0.1662,0.1578,0.1112,0.0777,0.0151,0.0623,0.3196,0.3247,0.6038,0.6019,0.1999,0.1284,0.0091,0.1083,0.1862,0.1133,0.3338,0.3056,0.3129,0.3575
s008,8,36,0.4523,0.4768,0.1312,0.1679,0.1251,0.1520,0.2744,0.2502,0.2899,0.3131,0.1320,0.1167,0.0307,0.0518,0.1363,0.1204,0.0720,0.0683,0.1577,0.1322
s008,8,37,0.2063,0.2055,0.1270,0.1151,0.0829,0.1185,0.5550,0.5479,0.2957,0.2892,0.1015,0.0938,0.0758,0.0962,0.1052,0.0883,0.0784,0.0786,0.1702,0.1622
s008,8,38,0.1403,0.1469,0.1106,0.1077,0.0806,0.0988,0.1908,0.2254,0.2830,0.2646,0.1300,0.1138,0.0920,0.1031,0.1030,0.0766,0.0774,0.0924,0.1859,0.1891
s008,8,39,0.1517,0.1722,0.1167,0.0898,0.0974,0.1283,0.1805,0.2090,0.2883,0.2873,0.1321,0.0856,0.1052,0.1181,0.0972,0.0809,0.0559,0.0676,0.1663,0.1643
s008,8,40,0.1399,0.1624,0.0964,0.0892,0.1178,0.1185,0.1826,0.2059,0.2762,0.2519,0.1075,0.1270,0.1131,0.1002,0.0784,0.0846,0.0853,0.0776,0.1808,0.1456
s008,8,41,0.1659,0.1685,0.1111,0.0919,0.0856,0.1014,0.3082,0.2932,0.2765,0.2881,0.1109,0.1028,0.0632,0.0938,0.1160,0.0724,0.0488,0.0734,0.1803,0.1530
s008,8,42,0.1443,0.1631,0.0924,0.0797,0.1022,0.1128,0.1845,0.1985,0.2607,0.2594,0.1125,0.1064,0.0911,0.0983,0.0893,0.0721,0.0671,0.0681,0.1657,0.1488
s008,8,43,0.2082,0.2264,0.1315,0.1262,0.1360,0.1772,0.2690,0.2478,0.2766,0.2701,0.0986,0.0956,0.1070,0.1395,0.0842,0.0689,0.0834,0.0689,0.2013,0.1873
s008,8,44,0.2047,0.2060,0.0948,0.0898,0.1091,0.1123,0.1750,0.2008,0.2690,0.2432,0.1004,0.1149,0.1168,0.1279,0.0705,0.0516,0.0650,0.0734,0.1979,0.1983
s008,8,45,0.1625,0.1414,0.1217,0.1225,0.1022,0.1225,0.2386,0.2436,0.2572,0.2483,0.0917,0.0861,0.0930,0.0989,0.0724,0.0629,0.0687,0.0921,0.1892,0.1696
s008,8,46,0.2185,0.2085,0.0835,0.0861,0.1067,0.1307,0.2269,0.2433,0.2843,0.2719,0.1146,0.1088,0.1062,0.1110,0.0914,0.0780,0.0526,0.0660,0.2306,0.2216
s008,8,47,0.0871,0.1013,0.1294,0.1249,0.0892,0.1262,0.3415,0.3211,0.2759,0.2493,0.0914,0.0970,0.0769,0.1117,0.0872,0.0766,0.0773,0.0707,0.2055,0.2113
s008,8,48,0.1383,0.1240,0.1222,0.1249,0.0872,0.1120,0.2476,0.2373,0.4050,0.4116,0.1431,0.1387,0.0772,0.0814,0.1007,0.0931,0.0552,0.0620,0.1758,0.1385
s008,8,49,0.1407,0.1401,0.4537,0.4411,0.0867,0.1049,0.3017,0.3125,0.2926,0.2778,0.1030,0.1192,0.0727,0.0769,0.0991,0.0922,0.0773,0.0742,0.1871,0.1704
s008,8,50,0.2747,0.2857,0.0950,0.0993,0.1036,0.1181,0.2117,0.2143,0.2828,0.2665,0.1062,0.1336,0.0977,0.0981,0.0751,0.0426,0.0668,0.0694,0.1475,0.1364
s010,1,1,0.1755,0.1274,0.1813,0.2040,0.2109,0.1856,0.4861,0.5122,0.6751,0.6495,0.1407,0.1740,0.1334,0.1007,0.1192,0.1487,0.2101,0.1972,0.2261,0.2216
s010,1,2,0.1514,0.1200,0.3695,0.3901,0.1640,0.1455,0.5890,0.5914,0.3004,0.3221,0.1627,0.1629,0.1250,0.1115,0.1576,0.1574,0.2502,0.2771,0.7111,0.6528
s010,1,3,0.2881,0.2739,0.1458,0.1431,0.1610,0.1589,0.3111,0.3032,0.3983,0.4004,0.1911,0.2138,0.1965,0.1614,0.2054,0.2471,0.2565,0.2647,0.6837,0.6444
s010,1,4,0.1535,0.1322,0.1883,0.2088,0.1840,0.1632,0.6347,0.6825,0.5681,0.5269,0.1563,0.1727,0.1263,0.1007,0.1434,0.1584,0.2064,0.2014,0.1886,0.1859
s010,1,5,0.1264,0.0855,0.1537,0.1663,0.1507,0.1441,0.2589,0.2473,0.2687,0.2745,0.1233,0.1455,0.1213,0.0991,0.1019,0.1275,0.2098,0.2093,0.2200,0.2044
s010,1,6,0.1683,0.1591,0.1473,0.1515,0.1413,0.1381,0.2739,0.2673,0.2738,0.2696,0.1499,0.1694,0.1320,0.1165,0.1228,0.1579,0.4853,0.4676,0.3142,0.3097
s010,1,7,0.1681,0.1425,0.1563,0.1732,0.1677,0.1418,0.2871,0.2882,0.2675,0.2617,0.1497,0.1739,0.4260,0.4102,0.1392,0.1508,0.2151,0.2180,0.2356,0.2190
s010,1,8,0.1403,0.1263,0.1388,0.1475,0.1987,0.1782,0.3996,0.3916,0.4202,0.4421,0.1661,0.1659,0.1089,0.0915,0.1057,0.1220,0.2148,0.2164,0.1952,0.1770
s010,1,9,0.2467,0.2072,0.1637,0.1819,0.1328,0.1125,0.3244,0.3650,0.4126,0.3992,0.1561,0.1489,0.1445,0.1142,0.0843,0.0938,0.2120,0.2383,0.2329,0.2063
s010,1,10,0.3720,0.3396,0.1312,0.1275,0.1444,0.1357,0.2740,0.3138,0.3827,0.3471,0.1740,0.1859,0.1086,0.0885,0.1333,0.1370,0.2116,0.2293,0.2277,0.2179
s010,1,11,0.2224,0.2089,0.1373,0.1445,0.1252,0.1230,0.5763,0.6112,0.5015,0.4701,0.1785,0.1695,0.1458,0.1445,0.1078,0.1102,0.2481,0.2378,0.2153,0.2174
s010,1,12,0.4750,0.5056,0.4872,0.4566,0.1078,0.0999,0.2803,0.3072,0.4147,0.3914,0.1579,0.1669,0.1033,0.0878,0.1134,0.1305,0.2096,0.2114,0.1944,0.1794
s010,1,13,0.1304,0.0934,0.1671,0.1711,0.1410,0.1204,0.3637,0.4083,0.5439,0.5101,0.1924,0.1985,0.1637,0.1402,0.0901,0.0964,0.2114,0.2056,0.1738,0.1493
s010,1,14,0.0997,0.0612,0.1666,0.2022,0.1603,0.1165,0.6499,0.6646,0.2999,0.3182,0.2142,0.2078,0.1215,0.1009,0.1141,0.1326,0.2148,0.1913,0.1625,0.1636
s010,1,15,0.2380,0.1892,0.1774,0.1940,0.1507,0.1188,0.2418,0.2587,0.2395,0.2253,0.1199,0.1520,0.1028,0.0714,0.0959,0.1294,0.1982,0.1869,0.1667,0.1588
s010,1,16,0.1129,0.0899,0.3418,0.3621,0.1328,0.1136,0.3365,0.3692,0.4738,0.4543,0.1645,0.1663,0.1189,0.0949,0.0914,0.1086,0.2054,0.2014,0.1831,0.2026
s010,1,17,0.1623,0.1446,0.1127,0.1275,0.1452,0.1230,0.5958,0.5816,0.2886,0.3020,0.1404,0.1584,0.1010,0.0801,0.1059,0.1144,0.2030,0.2151,0.1712,0.1749
s010,1,18,0.1124,0.0853,0.1714,0.1816,0.1465,0.1368,0.2829,0.2874,0.2722,0.2542,0.1434,0.1864,0.1487,0.1092,0.0957,0.1181,0.2278,0.2241,0.1733,0.1556
s010,1,19,0.1417,0.1018,0.1597,0.1407,0.1119,0.1343,0.2414,0.2338,0.2687,0.2647,0.1351,0.1539,0.1041,0.0803,0.1135,0.1338,0.2114,0.1951,0.1725,0.1730
s010,1,20,0.1206,0.1277,0.4595,0.4550,0.1396,0.1343,0.3613,0.3801,0.4321,0.4255,0.1722,0.1658,0.1550,0.1392,0.1033,0.1400,0.2375,0.1998,0.2871,0.2678
s010,1,21,0.1591,0.1351,0.3592,0.3861,0.1560,0.1299,0.3555,0.3370,0.3590,0.3669,0.1455,0.1727,0.1500,0.1125,0.0856,0.1168,0.2165,0.2035,0.1382,0.1298
s010,1,22,0.6200,0.5768,0.3500,0.3793,0.1244,0.1038,0.6112,0.6088,0.2952,0.2949,0.1533,0.1871,0.1329,0.1129,0.1067,0.1209,0.2190,0.2058,0.1408,0.1152
s010,1,23,0.1515,0.1016,0.1719,0.1869,0.1338,0.1225,0.2484,0.2481,0.2616,0.2543,0.1384,0.1557,0.1109,0.0935,0.1027,0.1333,0.2172,0.1990,0.1556,0.1422
s010,1,24,0.2849,0.2430,0.1447,0.1674,0.1661,0.1381,0.2075,0.2138,0.2630,0.2459,0.1558,0.1832,0.1220,0.1078,0.1173,0.1276,0.2339,0.2291,0.1638,0.1599
s010,1,25,0.1321,0.1081,0.1600,0.1719,0.1703,0.1574,0.2566,0.2645,0.3033,0.2888,0.1530,0.1828,0.6329,0.6126,0.1347,0.1529,0.4911,0.4890,0.1937,0.1747
s010,1,26,0.2137,0.1844,0.1454,0.1623,0.1874,0.1822,0.2819,0.2697,0.2857,0.2797,0.1365,0.1647,0.1709,0.1390,0.1622,0.1933,0.2241,0.2286,0.2203,0.2076
s010,1,27,0.1546,0.1171,0.1341,0.1621,0.1793,0.1545,0.2547,0.2547,0.2564,0.2628,0.1382,0.1508,0.1326,0.1088,0.1014,0.1144,0.2025,0.2072,0.1817,0.1762
s010,1,28,0.1593,0.1055,0.1650,0.1774,0.1850,0.1631,0.2621,0.2658,0.2234,0.2276,0.1502,0.1658,0.1748,0.1719,0.1226,0.1350,0.2428,0.2072,0.2134,0.2260
s010,1,29,0.1412,0.1063,0.1489,0.1571,0.1523,0.1476,0.4780,0.4964,0.3104,0.3157,0.1761,0.1727,0.3545,0.3555,0.1156,0.1133,0.2165,0.2075,0.1725,0.1754
s010,1,30,0.4760,0.4235,0.1737,0.2075,0.1742,0.1528,0.2552,0.2589,0.2365,0.2302,0.1339,0.1555,0.1336,0.1244,0.1054,0.1207,0.2201,0.2111,0.2018,0.1936
s010,1,31,0.1491,0.1074,0.2070,0.2286,0.1684,0.1357,0.4151,0.4146,0.2622,0.2654,0.1382,0.1659,0.1501,0.1332,0.0933,0.1173,0.2249,0.2059,0.1876,0.1797
s010,1,32,0.1773,0.1158,0.2798,0.3088,0.1378,0.1149,0.2513,0.2566,0.2469,0.2429,0.1511,0.1772,0.1120,0.0949,0.1173,0.1281,0.2331,0.2080,0.1860,0.2063
