subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s007,5,8,0.1122,0.2182,0.106,0.0821,0.1048,0.0227,0.0731,0.076,0.0029,0.0934,0.1868,0.0934,0.0655,0.2872,0.2217,0.0837,0.1307,0.047,0.1214,0.1247,0.0033,0.094,0.1028,0.0088,0.1262,0.1071,-0.0191,0.0972,0.1702,0.073,0.0858
s007,5,9,0.0916,0.1615,0.0699,0.0679,0.0743,0.0064,0.0686,0.1098,0.0412,0.0663,0.179,0.1127,0.065,0.2517,0.1867,0.0959,0.1231,0.0272,0.1196,0.1125,-0.0071,0.1017,0.1099,0.0082,0.1268,0.0974,-0.0294,0.0909,0.1787,0.0878,0.0861
s007,5,10,0.1093,0.2042,0.0949,0.0797,0.089,0.0093,0.0496,0.0736,0.024,0.0948,0.212,0.1172,0.0747,0.2692,0.1945,0.0885,0.164,0.0755,0.1133,0.0838,-0.0295,0.1119,0.1207,0.0088,0.109,0.0765,-0.0325,0.1048,0.1997,0.0949,0.0795
s007,6,1,0.1019,0.1451,0.0432,0.0721,0.1109,0.0388,0.0776,0.0877,0.0101,0.0784,0.1906,0.1122,0.0628,0.2353,0.1725,0.1048,0.2143,0.1095,0.137,0.0576,-0.0794,0.098,0.1683,0.0703,0.1304,0.0979,-0.0325,0.0855,0.1746,0.0891,0.0837
s007,6,2,0.0832,0.1407,0.0575,0.0694,0.0982,0.0288,0.0697,0.0798,0.0101,0.0805,0.185,0.1045,0.066,0.2458,0.1798,0.099,0.1486,0.0496,0.1225,0.0959,-0.0266,0.1066,0.1011,-0.0055,0.1212,0.0987,-0.0225,0.0887,0.1783,0.0896,0.0905
s007,6,3,0.0758,0.1502,0.0744,0.0665,0.1154,0.0489,0.0768,0.0895,0.0127,0.108,0.2463,0.1383,0.0631,0.2474,0.1843,0.1012,0.2097,0.1085,0.1101,0.0909,-0.0192,0.103,0.1073,0.0043,0.1328,0.1119,-0.0209,0.0853,0.1844,0.0991,0.0832
s007,6,4,0.1037,0.1591,0.0554,0.0818,0.108,0.0262,0.0644,0.0766,0.0122,0.089,0.1946,0.1056,0.0605,0.2495,0.189,0.0927,0.1814,0.0887,0.1117,0.0977,-0.014,0.1186,0.1303,0.0117,0.1318,0.1003,-0.0315,0.0943,0.2056,0.1113,0.0631
s007,6,5,0.09,0.2599,0.1699,0.0832,0.1149,0.0317,0.0639,0.0924,0.0285,0.0789,0.1818,0.1029,0.0626,0.2533,0.1907,0.1109,0.1806,0.0697,0.1515,0.0906,-0.0609,0.1254,0.1397,0.0143,0.1518,0.1172,-0.0346,0.1053,0.2174,0.1121,0.0755
s007,6,6,0.0945,0.2446,0.1501,0.0913,0.1341,0.0428,0.0694,0.1022,0.0328,0.0969,0.2001,0.1032,0.0607,0.2471,0.1864,0.1033,0.1529,0.0496,0.1275,0.0969,-0.0306,0.1241,0.1104,-0.0137,0.1397,0.1064,-0.0333,0.1016,0.6253,0.5237,0.1029
s007,6,7,0.1304,0.196,0.0656,0.075,0.0927,0.0177,0.075,0.0822,0.0072,0.0869,0.1837,0.0968,0.0639,0.239,0.1751,0.1133,0.1783,0.065,0.1172,0.0993,-0.0179,0.127,0.1146,-0.0124,0.1284,0.1077,-0.0207,0.0975,0.2143,0.1168,0.0692
s007,6,8,0.0964,0.1647,0.0683,0.0834,0.1016,0.0182,0.0618,0.079,0.0172,0.085,0.1824,0.0974,0.0792,0.2427,0.1635,0.1333,0.2131,0.0798,0.1128,0.0838,-0.029,0.1191,0.144,0.0249,0.1526,0.1166,-0.036,0.1168,0.2344,0.1176,0.0644
s007,6,9,0.0961,0.1409,0.0448,0.0921,0.0961,0.004,0.0816,0.0885,0.0069,0.1151,0.228,0.1129,0.0887,0.2817,0.193,0.1188,0.2231,0.1043,0.0974,0.1118,0.0144,0.1291,0.1167,-0.0124,0.1368,0.1088,-0.028,0.0937,0.1928,0.0991,0.1212
s007,6,10,0.1159,0.1488,0.0329,0.0729,0.0948,0.0219,0.0695,0.0597,-0.0098,0.0937,0.1998,0.1061,0.0652,0.2494,0.1842,0.1132,0.2233,0.1101,0.0818,0.0951,0.0133,0.1325,0.1156,-0.0169,0.1239,0.1067,-0.0172,0.0892,0.5614,0.4722,0.0913
s007,7,1,0.1027,0.1203,0.0176,0.0789,0.1156,0.0367,0.0806,0.0734,-0.0072,0.0882,0.2101,0.1219,0.0705,0.2794,0.2089,0.0848,0.1476,0.0628,0.099,0.0761,-0.0229,0.1003,0.099,-0.0013,0.1387,0.1101,-0.0286,0.1017,0.1847,0.083,0.0784
s007,7,2,0.081,0.12,0.039,0.0742,0.099,0.0248,0.0623,0.0639,0.0016,0.08,0.1803,0.1003,0.0599,0.242,0.1821,0.0958,0.1288,0.033,0.0993,0.106,0.0067,0.1046,0.0816,-0.023,0.1389,0.1167,-0.0222,0.0977,0.1974,0.0997,0.0668
s007,7,3,0.1043,0.1502,0.0459,0.0752,0.0985,0.0233,0.0822,0.0684,-0.0138,0.0925,0.1677,0.0752,0.0713,0.2941,0.2228,0.0945,0.1693,0.0748,0.1206,0.1664,0.0458,0.043,0.0452,0.0022,0.1341,0.1132,-0.0209,0.1067,0.2227,0.116,0.0655
s007,7,4,0.0916,0.1248,0.0332,0.0847,0.1103,0.0256,0.0671,0.2334,0.1663,0.1029,0.2531,0.1502,0.0565,0.3279,0.2714,0.1038,0.2139,0.1101,0.1098,0.1239,0.0141,0.1093,0.1268,0.0175,0.1182,0.091,-0.0272,0.0961,0.2008,0.1047,0.0657
s007,7,5,0.0842,0.1712,0.087,0.0942,0.1275,0.0333,0.0884,0.1003,0.0119,0.0863,0.1802,0.0939,0.0642,0.2496,0.1854,0.1172,0.1521,0.0349,0.1175,0.0896,-0.0279,0.0919,0.0965,0.0046,0.1476,0.1227,-0.0249,0.1004,0.2106,0.1102,0.0739
s007,7,6,0.1024,0.1641,0.0617,0.0795,0.1207,0.0412,0.0784,0.0383,-0.0401,0.0963,0.2016,0.1053,0.0774,0.2382,0.1608,0.1106,0.1587,0.0481,0.0861,0.0674,-0.0187,0.112,0.1561,0.0441,0.1217,0.0958,-0.0259,0.095,0.2408,0.1458,0.0615
s007,7,7,0.1146,0.1641,0.0495,0.0671,0.0946,0.0275,0.0856,0.0705,-0.0151,0.0814,0.1775,0.0961,0.0792,0.2643,0.1851,0.1143,0.1304,0.0161,0.1138,0.121,0.0072,0.0985,0.1073,0.0088,0.1494,0.1029,-0.0465,0.1056,0.2277,0.1221,0.0692
s007,7,8,0.1185,0.186,0.0675,0.0866,0.098,0.0114,0.0782,0.0676,-0.0106,0.1207,0.1846,0.0639,0.0826,0.2486,0.166,0.107,0.1519,0.0449,0.093,0.0896,-0.0034,0.1117,0.1139,0.0022,0.1207,0.0884,-0.0323,0.1036,0.2518,0.1482,0.0578
s007,7,9,0.076,0.1646,0.0886,0.0829,0.1083,0.0254,0.0758,0.071,-0.0048,0.0898,0.1877,0.0979,0.0634,0.249,0.1856,0.0768,0.1629,0.0861,0.1006,0.0919,-0.0087,0.1062,0.1287,0.0225,0.1378,0.1119,-0.0259,0.1061,0.2379,0.1318,0.0681
s007,7,10,0.0758,0.1042,0.0284,0.0734,0.1497,0.0763,0.0676,0.0436,-0.024,0.0673,0.1818,0.1145,0.0718,0.2669,0.1951,0.0903,0.1088,0.0185,0.1122,0.0882,-0.024,0.1062,0.1113,0.0051,0.1257,0.1008,-0.0249,0.0964,0.1937,0.0973,0.0673
s007,8,1,0.1051,0.1467,0.0416,0.0634,0.0843,0.0209,0.0676,0.0861,0.0185,0.071,0.1866,0.1156,0.046,0.282,0.236,0.0848,0.1529,0.0681,0.0787,0.0655,-0.0132,0.0959,0.1036,0.0077,0.1149,0.0979,-0.017,0.0811,0.1844,0.1033,0.0742
s007,8,2,0.0789,0.1013,0.0224,0.0694,0.1373,0.0679,0.0365,0.0053,-0.0312,0.0737,0.2009,0.1272,0.0715,0.2727,0.2012,0.0751,0.1116,0.0365,0.093,0.0917,-0.0013,0.088,0.0772,-0.0108,0.1233,0.1148,-0.0085,0.0774,0.1723,0.0949,0.0805
s007,8,3,0.0842,0.0984,0.0142,0.0797,0.1412,0.0615,0.0447,0.0317,-0.013,0.0582,0.159,0.1008,0.0642,0.2395,0.1753,0.0811,0.1073,0.0262,0.1072,0.1035,-0.0037,0.0935,0.0806,-0.0129,0.1099,0.1069,-0.003,0.0843,0.1715,0.0872,0.07
s007,8,4,0.0847,0.1488,0.0641,0.0744,0.1225,0.0481,0.0589,0.047,-0.0119,0.0808,0.1911,0.1103,0.0562,0.251,0.1948,0.0816,0.1933,0.1117,0.104,0.1022,-0.0018,0.0911,0.0523,-0.0388,0.1083,0.135,0.0267,0.0797,0.1749,0.0952,0.0713
s007,8,5,0.0842,0.0934,0.0092,0.0803,0.1476,0.0673,0.0636,0.0111,-0.0525,0.0826,0.1874,0.1048,0.0581,0.234,0.1759,0.0884,0.1507,0.0623,0.1082,0.0692,-0.039,0.0998,0.1096,0.0098,0.1251,0.1074,-0.0177,0.094,0.1797,0.0857,0.0795
s007,8,6,0.1035,0.1219,0.0184,0.085,0.146,0.061,0.0698,0.0299,-0.0399,0.0806,0.1933,0.1127,0.0626,0.2395,0.1769,0.094,0.1122,0.0182,0.1149,0.0925,-0.0224,0.1028,0.0909,-0.0119,0.1231,0.1056,-0.0175,0.1091,0.204,0.0949,0.0861
s007,8,7,0.0956,0.1797,0.0841,0.0787,0.094,0.0153,0.066,0.0504,-0.0156,0.0713,0.1742,0.1029,0.0562,0.2352,0.179,0.0956,0.1658,0.0702,0.0839,0.037,-0.0469,0.1101,0.1234,0.0133,0.1159,0.0997,-0.0162,0.0845,0.1868,0.1023,0.0789
s007,8,8,0.1169,0.1657,0.0488,0.0684,0.107,0.0386,0.0803,0.0792,-0.0011,0.0906,0.1737,0.0831,0.0737,0.2559,0.1822,0.0959,0.1218,0.0259,0.103,0.0869,-0.0161,0.1017,0.1004,-0.0013,0.1304,0.1079,-0.0225,0.0837,0.1725,0.0888,0.0847
s007,8,9,0.0987,0.1184,0.0197,0.076,0.1235,0.0475,0.0806,0.0304,-0.0502,0.0869,0.1991,0.1122,0.0594,0.2327,0.1733,0.1007,0.1261,0.0254,0.1212,0.0896,-0.0316,0.1111,0.0903,-0.0208,0.1267,0.1066,-0.0201,0.1014,0.1757,0.0743,0.1
s007,8,10,0.0781,0.1184,0.0403,0.081,0.1214,0.0404,0.0644,0.0433,-0.0211,0.0887,0.1924,0.1037,0.0671,0.2496,0.1825,0.0657,0.1174,0.0517,0.1035,0.0959,-0.0076,0.1033,0.098,-0.0053,0.1096,0.1032,-0.0064,0.0903,0.1844,0.0941,0.0913
s008,1,1,0.1003,0.2443,0.144,0.0927,0.1062,0.0135,0.0755,0.1159,0.0404,0.0547,0.6761,0.6214,0.0805,0.3814,0.3009,0.1135,0.5344,0.4209,0.099,0.1147,0.0157,0.1317,0.1798,0.0481,0.0964,0.2239,0.1275,0.0797,0.5208,0.4411,0.1243
s008,1,2,0.1526,0.3373,0.1847,0.0866,0.0935,0.0069,0.07,0.1096,0.0396,0.076,0.7201,0.6441,0.1064,0.4052,0.2988,0.1077,0.1389,0.0312,0.0943,0.0766,-0.0177,0.1131,0.1591,0.046,0.0795,0.3579,0.2784,0.0879,0.2485,0.1606,0.0702
s008,1,3,0.1296,0.3116,0.182,0.0956,0.1125,0.0169,0.0871,0.128,0.0409,0.085,0.5734,0.4884,0.0792,0.3295,0.2503,0.0811,0.1508,0.0697,0.0816,0.0907,0.0091,0.119,0.1542,0.0352,0.0919,0.3043,0.2124,0.0818,0.321,0.2392,0.1124
s008,1,4,0.1354,0.3367,0.2013,0.1,0.2892,0.1892,0.1014,0.2204,0.119,0.0911,0.4592,0.3681,0.07,0.4709,0.4009,0.0827,0.1614,0.0787,0.1069,0.1292,0.0223,0.1183,0.1616,0.0433,0.0774,0.2138,0.1364,0.056,0.2578,0.2018,0.109
s008,1,5,0.1307,0.3684,0.2377,0.1003,0.1077,0.0074,0.0832,0.1595,0.0763,0.1101,0.6445,0.5344,0.0805,0.3146,0.2341,0.1006,0.1331,0.0325,0.084,0.0605,-0.0235,0.1302,0.1477,0.0175,0.0929,0.209,0.1161,0.0692,0.2029,0.1337,0.0887
s008,1,6,0.118,0.395,0.277,0.1043,0.1355,0.0312,0.1024,0.1557,0.0533,0.1051,0.8086,0.7035,0.0774,0.3638,0.2864,0.0993,0.1318,0.0325,0.0988,0.0814,-0.0174,0.1196,0.1585,0.0389,0.0948,0.2238,0.129,0.0916,0.2092,0.1176,0.1249
s008,1,7,0.1251,0.4515,0.3264,0.0763,0.1122,0.0359,0.0921,0.1658,0.0737,0.0956,0.3748,0.2792,0.0921,0.5669,0.4748,0.0893,0.1355,0.0462,0.0898,0.0917,0.0019,0.1212,0.1595,0.0383,0.0858,0.3407,0.2549,0.0919,0.4172,0.3253,0.1288
s008,1,8,0.0995,0.7618,0.6623,0.1114,0.0982,-0.0132,0.076,0.1441,0.0681,0.1032,0.4225,0.3193,0.0768,0.4215,0.3447,0.1012,0.1519,0.0507,0.0861,0.0848,-0.0013,0.103,0.1485,0.0455,0.0779,0.2011,0.1232,0.0803,0.2304,0.1501,0.119
s008,1,9,0.0927,0.4808,0.3881,0.0866,0.1112,0.0246,0.0921,0.1198,0.0277,0.1016,0.3657,0.2641,0.0882,0.3366,0.2484,0.103,0.1954,0.0924,0.0966,0.1073,0.0107,0.1217,0.136,0.0143,0.0921,0.1897,0.0976,0.0824,0.2435,0.1611,0.1148
s008,1,10,0.1088,0.3193,0.2105,0.0913,0.1064,0.0151,0.0961,0.1885,0.0924,0.1101,0.3745,0.2644,0.0961,0.3717,0.2756,0.1138,0.1693,0.0555,0.1051,0.0856,-0.0195,0.112,0.1651,0.0531,0.0845,0.4318,0.3473,0.0884,0.2118,0.1234,0.1283
s008,2,1,0.0789,0.6641,0.5852,0.0942,0.1082,0.014,0.0562,0.0995,0.0433,0.0929,0.6386,0.5457,0.0784,0.3138,0.2354,0.0914,0.1094,0.018,0.0784,0.0846,0.0062,0.1066,0.1645,0.0579,0.0847,0.4254,0.3407,0.0365,0.2932,0.2567,0.0821
s008,2,2,0.0737,0.2169,0.1432,0.0702,0.0874,0.0172,0.0665,0.1101,0.0436,0.0789,0.4494,0.3705,0.0681,0.326,0.2579,0.0914,0.112,0.0206,0.0758,0.0828,0.007,0.1082,0.1471,0.0389,0.0779,0.2048,0.1269,0.0578,0.6374,0.5796,0.0905
s008,2,3,0.1119,0.2105,0.0986,0.0842,0.0964,0.0122,0.0737,0.1041,0.0304,0.1029,0.4027,0.2998,0.0797,0.3524,0.2727,0.0803,0.1096,0.0293,0.0895,0.0824,-0.0071,0.1143,0.1389,0.0246,0.0824,0.5587,0.4763,0.1022,0.2177,0.1155,0.0766
s008,2,4,0.1404,0.2493,0.1089,0.0982,0.1067,0.0085,0.0842,0.1135,0.0293,0.089,0.4231,0.3341,0.0803,0.3506,0.2703,0.079,0.1909,0.1119,0.0855,0.1524,0.0669,0.1082,0.1486,0.0404,0.0679,0.2217,0.1538,0.0726,0.5274,0.4548,0.1059
s008,2,5,0.0982,0.2625,0.1643,0.0813,0.0689,-0.0124,0.0805,0.123,0.0425,0.0821,0.5618,0.4797,0.0934,0.9251,0.8317,0.0967,0.1878,0.0911,0.0953,0.1065,0.0112,0.1275,0.1392,0.0117,0.066,0.1874,0.1214,0.0866,0.7839,0.6973,0.09
s008,2,6,0.0969,0.1807,0.0838,0.08,0.103,0.023,0.0679,0.1102,0.0423,0.0932,0.3982,0.305,0.0755,0.3413,0.2658,0.1027,0.1286,0.0259,0.0969,0.0806,-0.0163,0.137,0.154,0.017,0.0744,0.305,0.2306,0.0847,0.234,0.1493,0.1069
s008,2,7,0.1106,0.2164,0.1058,0.0826,0.0879,0.0053,0.0845,0.1125,0.028,0.1077,0.3732,0.2655,0.0874,0.3042,0.2168,0.1001,0.1244,0.0243,0.1117,0.0793,-0.0324,0.1225,0.1381,0.0156,0.0755,0.2877,0.2122,0.0734,0.214,0.1406,0.0784
s008,2,8,0.0971,0.2263,0.1292,0.09,0.1011,0.0111,0.0779,0.112,0.0341,0.0956,0.3508,0.2552,0.0766,0.3052,0.2286,0.0935,0.131,0.0375,0.0885,0.0727,-0.0158,0.1209,0.1592,0.0383,0.0721,0.2724,0.2003,0.0845,0.2285,0.144,0.0855
s008,2,9,0.0618,0.1953,0.1335,0.0898,0.0933,0.0035,0.0829,0.1207,0.0378,0.0966,0.3468,0.2502,0.075,0.3137,0.2387,0.0874,0.1323,0.0449,0.0882,0.0923,0.0041,0.1103,0.151,0.0407,0.0737,0.2299,0.1562,0.0826,0.2232,0.1406,0.089
s008,2,10,0.1114,0.3106,0.1992,0.079,0.0776,-0.0014,0.0925,0.1522,0.0597,0.1019,0.3402,0.2383,0.0668,0.3292,0.2624,0.0967,0.1189,0.0222,0.0982,0.0835,-0.0147,0.1259,0.1516,0.0257,0.0847,0.4942,0.4095,0.1101,0.2649,0.1548,0.0547
s008,3,1,0.0927,0.2372,0.1445,0.08,0.0967,0.0167,0.0655,0.088,0.0225,0.0744,0.4056,0.3312,0.0681,0.2791,0.211,0.1093,0.113,0.0037,0.0922,0.0674,-0.0248,0.1088,0.14,0.0312,0.0742,0.1373,0.0631,0.0549,0.1749,0.12,0.0686
s008,3,2,0.0924,0.1567,0.0643,0.0684,0.1138,0.0454,0.0602,0.0755,0.0153,0.0866,0.3972,0.3106,0.0789,0.3083,0.2294,0.1004,0.0882,-0.0122,0.0864,0.0907,0.0043,0.118,0.1156,-0.0024,0.0845,0.1304,0.0459,0.0718,0.1944,0.1226,0.0855
s008,3,3,0.0908,0.2002,0.1094,0.0744,0.099,0.0246,0.0679,0.0909,0.023,0.0871,0.3887,0.3016,0.0993,0.2765,0.1772,0.0945,0.0887,-0.0058,0.0821,0.0758,-0.0063,0.1098,0.1215,0.0117,0.0887,0.1227,0.034,0.0723,0.2395,0.1672,0.085
s008,3,4,0.0958,0.1604,0.0646,0.0679,0.1648,0.0969,0.0671,0.1043,0.0372,0.0855,0.4053,0.3198,0.0913,0.2676,0.1763,0.1078,0.1064,-0.0014,0.1004,0.082,-0.0184,0.1064,0.1189,0.0125,0.1027,0.1119,0.0092,0.0829,0.2337,0.1508,0.0998
s008,3,5,0.0919,0.2998,0.2079,0.0768,0.0863,0.0095,0.0805,0.1251,0.0446,0.0927,0.4117,0.319,0.0758,0.3108,0.235,0.089,0.0494,-0.0396,0.0966,0.1231,0.0265,0.104,0.1003,-0.0037,0.1051,0.1196,0.0145,0.0776,0.239,0.1614,0.0816
s008,3,6,0.1014,0.2594,0.158,0.0715,0.076,0.0045,0.0821,0.1341,0.052,0.0863,0.3787,0.2924,0.0903,0.2828,0.1925,0.102,0.1031,0.0011,0.1004,0.0864,-0.014,0.1091,0.1242,0.0151,0.1323,0.1182,-0.0141,0.0856,0.2174,0.1318,0.0863
s008,3,7,0.1051,0.2106,0.1055,0.0855,0.1048,0.0193,0.0752,0.3267,0.2515,0.1109,0.3328,0.2219,0.0705,0.3498,0.2793,0.1056,0.1238,0.0182,0.0816,0.079,-0.0026,0.1196,0.135,0.0154,0.0847,0.1433,0.0586,0.0668,0.3042,0.2374,0.0671
s008,3,8,0.0858,0.2071,0.1213,0.0697,0.0824,0.0127,0.07,0.1305,0.0605,0.0713,0.398,0.3267,0.0839,0.2859,0.202,0.0858,0.0911,0.0053,0.0858,0.0907,0.0049,0.1091,0.1043,-0.0048,0.122,0.1465,0.0245,0.0869,0.2678,0.1809,0.0824
s008,3,9,0.1011,0.2491,0.148,0.076,0.0974,0.0214,0.0718,0.1077,0.0359,0.0805,0.3278,0.2473,0.0937,0.2846,0.1909,0.0937,0.0956,0.0019,0.0927,0.096,0.0033,0.095,0.1091,0.0141,0.1027,0.1196,0.0169,0.0792,0.2366,0.1574,0.0742
s008,3,10,0.0905,0.1952,0.1047,0.0655,0.0888,0.0233,0.0752,0.1072,0.032,0.0644,0.3417,0.2773,0.0869,0.2886,0.2017,0.0945,0.1133,0.0188,0.0861,0.0716,-0.0145,0.0972,0.1456,0.0484,0.117,0.1103,-0.0067,0.0716,0.181,0.1094,0.0781
s008,4,1,0.0718,0.1256,0.0538,0.0713,0.1241,0.0528,0.065,0.0922,0.0272,0.0781,0.3678,0.2897,0.085,0.2962,0.2112,0.0978,0.0964,-0.0014,0.0872,0.0767,-0.0105,0.1051,0.1062,0.0011,0.1175,0.0942,-0.0233,0.0774,0.2032,0.1258,0.0784
s008,4,2,0.0731,0.1886,0.1155,0.0679,0.098,0.0301,0.0663,0.1093,0.043,0.0752,0.3752,0.3,0.0774,0.273,0.1956,0.098,0.1046,0.0066,0.0845,0.0782,-0.0063,0.1078,0.0856,-0.0222,0.1197,0.0856,-0.0341,0.0924,0.2174,0.125,0.0679
s008,4,3,0.0874,0.1958,0.1084,0.0686,0.0987,0.0301,0.0623,0.1046,0.0423,0.0774,0.331,0.2536,0.1003,0.3278,0.2275,0.0869,0.103,0.0161,0.0842,0.0943,0.0101,0.1106,0.0982,-0.0124,0.1165,0.0842,-0.0323,0.0861,0.2581,0.172,0.0808
s008,4,4,0.089,0.1678,0.0788,0.0607,0.0974,0.0367,0.0718,0.1185,0.0467,0.0744,0.2311,0.1567,0.0834,0.3197,0.2363,0.0866,0.1162,0.0296,0.0787,0.0684,-0.0103,0.1004,0.1181,0.0177,0.1101,0.0963,-0.0138,0.0969,0.2177,0.1208,0.0636
s008,4,5,0.0528,0.1741,0.1213,0.071,0.0721,0.0011,0.0803,0.1154,0.0351,0.0755,0.2064,0.1309,0.0789,0.3094,0.2305,0.0855,0.0935,0.008,0.0882,0.0957,0.0075,0.1164,0.1035,-0.0129,0.1135,0.091,-0.0225,0.0898,0.2372,0.1474,0.0737
s008,4,6,0.1064,0.2137,0.1073,0.0718,0.0834,0.0116,0.0821,0.1238,0.0417,0.0821,0.2589,0.1768,0.0863,0.3093,0.223,0.0876,0.0934,0.0058,0.0869,0.097,0.0101,0.1093,0.0993,-0.01,0.1016,0.119,0.0174,0.0805,0.2205,0.14,0.0795
s008,4,7,0.094,0.2443,0.1503,0.075,0.0872,0.0122,0.0768,0.1315,0.0547,0.0813,0.2555,0.1742,0.0934,0.3291,0.2357,0.0822,0.0875,0.0053,0.0974,0.1347,0.0373,0.1085,0.0898,-0.0187,0.1119,0.1161,0.0042,0.0932,0.2353,0.1421,0.0792
s008,4,8,0.0887,0.1691,0.0804,0.0613,0.1075,0.0462,0.0655,0.0764,0.0109,0.0681,0.8088,0.7407,0.1299,0.3778,0.2479,0.089,0.1022,0.0132,0.0768,0.0872,0.0104,0.1056,0.112,0.0064,0.1056,0.0992,-0.0064,0.0864,0.2251,0.1387,0.0908
s008,4,9,0.0824,0.1897,0.1073,0.0702,0.0911,0.0209,0.07,0.0904,0.0204,0.0781,0.2341,0.156,0.0932,0.3131,0.2199,0.0774,0.1112,0.0338,0.074,0.0727,-0.0013,0.1051,0.1218,0.0167,0.113,0.0939,-0.0191,0.0917,0.2111,0.1194,0.0787
s008,4,10,0.0768,0.181,0.1042,0.0744,0.1066,0.0322,0.0665,0.1043,0.0378,0.0787,0.2447,0.166,0.0913,0.3167,0.2254,0.0732,0.0986,0.0254,0.0929,0.1086,0.0157,0.0993,0.1004,0.0011,0.1057,0.1027,-0.003,0.0948,0.229,0.1342,0.0882
s008,5,1,0.0768,0.1266,0.0498,0.0839,0.1098,0.0259,0.0726,0.089,0.0164,0.0715,0.3739,0.3024,0.0655,0.2741,0.2086,0.0957,0.0943,-0.0014,0.0809,0.0751,-0.0058,0.1078,0.1179,0.0101,0.1059,0.0855,-0.0204,0.0895,0.2163,0.1268,0.0702
s008,5,2,0.0734,0.1778,0.1044,0.0671,0.0943,0.0272,0.0676,0.1022,0.0346,0.0763,0.1716,0.0953,0.0837,0.2994,0.2157,0.07,0.0993,0.0293,0.0792,0.0674,-0.0118,0.1037,0.122,0.0183,0.0956,0.0834,-0.0122,0.0803,0.4805,0.4002,0.0705
s008,5,3,0.0676,0.1335,0.0659,0.0721,0.1128,0.0407,0.07,0.1001,0.0301,0.0763,0.2354,0.1591,0.0562,0.292,0.2358,0.0993,0.1046,0.0053,0.0744,0.0975,0.0231,0.0945,0.0882,-0.0063,0.0866,0.0768,-0.0098,0.0816,0.1992,0.1176,0.0824
s008,5,4,0.0729,0.1871,0.1142,0.0737,0.0898,0.0161,0.0702,0.1125,0.0423,0.0781,0.199,0.1209,0.0771,0.3086,0.2315,0.0665,0.0554,-0.0111,0.1177,0.1624,0.0447,0.0953,0.097,0.0017,0.0863,0.1042,0.0179,0.0708,0.1842,0.1134,0.0882
s008,5,5,0.0858,0.1952,0.1094,0.0805,0.1104,0.0299,0.0692,0.1421,0.0729,0.09,0.237,0.147,0.0744,0.312,0.2376,0.0798,0.0991,0.0193,0.1025,0.0793,-0.0232,0.1017,0.1213,0.0196,0.0929,0.0781,-0.0148,0.099,0.2282,0.1292,0.0642
s008,5,6,0.0491,0.1968,0.1477,0.0697,0.0541,-0.0156,0.085,0.1552,0.0702,0.0824,0.2048,0.1224,0.0702,0.3141,0.2439,0.0597,0.0864,0.0267,0.0938,0.0917,-0.0021,0.1012,0.1047,0.0035,0.097,0.0837,-0.0133,0.0822,0.2085,0.1263,0.09
s008,5,7,0.0657,0.159,0.0933,0.0737,0.0999,0.0262,0.0755,0.1088,0.0333,0.0731,0.7561,0.683,0.0816,0.3358,0.2542,0.0983,0.0946,-0.0037,0.0979,0.1188,0.0209,0.1088,0.099,-0.0098,0.0996,0.0895,-0.0101,0.0988,0.2694,0.1706,0.1119
s008,5,8,0.0781,0.3242,0.2461,0.0755,0.0974,0.0219,0.0731,0.1016,0.0285,0.0784,0.2214,0.143,0.075,0.3029,0.2279,0.1072,0.1357,0.0285,0.1111,0.0903,-0.0208,0.0985,0.1711,0.0726,0.1304,0.0778,-0.0526,0.1064,0.224,0.1176,0.1027
s008,5,9,0.0721,0.1296,0.0575,0.0708,0.1157,0.0449,0.056,0.0724,0.0164,0.0839,0.2591,0.1752,0.0655,0.5176,0.4521,0.0962,0.1493,0.0531,0.0883,0.0743,-0.014,0.1033,0.1126,0.0093,0.0999,0.0808,-0.0191,0.0951,0.1979,0.1028,0.0858
s008,5,10,0.0784,0.1638,0.0854,0.0795,0.1035,0.024,0.0718,0.0911,0.0193,0.0839,0.2114,0.1275,0.0998,0.3105,0.2107,0.0845,0.0959,0.0114,0.1011,0.1128,0.0117,0.0967,0.093,-0.0037,0.0999,0.0829,-0.017,0.0917,0.2067,0.115,0.0942
s008,6,1,0.0597,0.2066,0.1469,0.0721,0.1603,0.0882,0.07,0.1025,0.0325,0.0861,0.284,0.1979,0.0855,0.3798,0.2943,0.1096,0.16,0.0504,0.0716,0.0307,-0.0409,0.122,0.1387,0.0167,0.1144,0.0932,-0.0212,0.0724,0.2269,0.1545,0.0921
s008,6,2,0.0966,0.149,0.0524,0.0713,0.108,0.0367,0.0737,0.0941,0.0204,0.085,0.1668,0.0818,0.0956,0.3398,0.2442,0.0663,0.0896,0.0233,0.0988,0.0782,-0.0206,0.1152,0.1139,-0.0013,0.1115,0.0874,-0.0241,0.0832,0.2924,0.2092,0.0869
